,PERIODO,AREA,REGLA,CONECTOR,SIGLA,PRUEBA,TEST_PUNTAJE_MINIMO,TEST_PUNTAJE_MAXIMO,REGLA_PUNTAJE_MINIMO,REGLA_ATRIBUTO,ESTADO
0,202520,001-S01,INGZ0111,A-100,INGZ0111,,,,,,OK
1,202520,001-S01,INGZ0111,B-100,INGZ0030,,,,,,OK
2,202520,001-S01,INGZ0111,C-100,INGZ1111,,,,,,OK
3,202520,001-S01,INGZ0111,D-100,INGZ0123,,,,,,OK
4,202520,001-S01,INGZ0111,E-100,,ENGC,4,6,,,OK
5,202520,001-S01,INGZ0111,F-100,,ENG,3,9,,,OK
6,202520,001-S01,INGZ0111,G-100,,,,,,I111,OK
7,202520,001-S01,INGZ0111,H-100,INGZ0110,,,,,,OK
8,202520,001-S01,MATZ0014,A-100,MATZ0014,,,,,,OK
9,202520,001-S01,MATZ0014,B-100,MATZ0110,,,,,,OK
10,202520,001-S01,MATZ0014,C-100,MATZ0325,,,,,,OK
11,202520,001-S01,MATZ0014,D-100,MATZ0020,,,,,,OK
12,202520,001-S01,MATZ0014,E-100,MATZ0315,,,,,,OK
13,202520,001-S01,MATZ0014,F-100,MATZ0310,,,,,,OK
14,202520,001-S01,MATZ0014,G-100,MATZ0305,,,,,,OK
15,202520,001-S01,MATZ0014,H-100,ECON2310,,,,,,OK
16,202520,001-S01,MATZ0014,H-100,MATZ0330,,,,,,OK
17,202520,001-S01,MATZ0014,I-100,MATZ0300,,,,,,OK
18,202520,001-S01,MATZ0014,J-100,MATZ0016,,,,,,OK
19,202520,001-S01,MATZ0014,K-100,,PRTE,7,10,,,OK
20,202520,001-S01,MATZ0014,L-100,MATZ0330,,,,,,OK
21,202520,001-S01,MATZ0014,M-100,MATZ0017,,,,,,OK
22,202520,001-S01,PSIZ1001,A-100,PSIZ1001,,,,,,OK
23,202520,001-S01,PSIZ1001,B-100,SIGE1310,,,,,,OK
24,202520,001-S01,PSIZ1002,A-100,PSIZ1002,,,,,,OK
25,202520,001-S01,PSIZ1002,B-100,SIGE1010,,,,,,OK
26,202520,001-S01,PSIZ1002,C-100,,A033,6,10,,,OK
27,202520,001-S01,VIDA0001,A-100,VIDA0001,,,,,,OK
28,202520,001-S01,VIDA0001,B-100,FGLZ0180,,,,,,OK
29,202520,001-S01,VIDA0001,C-100,FGLZ0150,,,,,,OK
30,202520,001-S01,VIDA0001,D-100,FGLZ0182,,,,,,OK
31,202520,001-S01,VIDA0001,E-100,,A091,6,10,,,OK
32,202520,001-S01,VIDA0002,A-100,VIDA0002,,,,,,OK
33,202520,001-S01,VIDA0002,B-100,FGLZ0192,,,,,,OK
34,202520,001-S01,VIDA0002,C-100,FGLZ0140,,,,,,OK
35,202520,001-S01,VIDA0002,C-100,FGLZ0160,,,,,,OK
36,202520,001-S01,VIDA0002,D-100,FGLZ0160,,,,,,OK
37,202520,001-S01,VIDA0002,D-100,FGLZ0170,,,,,,OK
38,202520,001-S01,VIDA0002,E-100,FGLZ0140,,,,,,OK
39,202520,001-S01,VIDA0002,E-100,ICOM1110,,,,,,OK
40,202520,001-S01,VIDA0002,F-100,FGLZ0170,,,,,,OK
41,202520,001-S01,VIDA0002,F-100,ICOM1110,,,,,,OK
42,202520,001-S01,VIDA0002,G-100,FGLZ0140,,,,,,OK
43,202520,001-S01,VIDA0002,G-100,FGLZ0190,,,,,,OK
44,202520,001-S01,VIDA0002,H-100,FGLZ0170,,,,,,OK
45,202520,001-S01,VIDA0002,H-100,FGLZ0190,,,,,,OK
46,202520,001-S01,VIDA0002,I-100,FGLZ0193,,,,,,OK
47,202520,001-S01,VIDA0002,J-100,,A090,6,10,,,OK
48,202520,001-S02,INGZ0222,A-100,INGZ0222,,,,,,OK
49,202520,001-S02,INGZ0222,B-100,INGZ0040,,,,,,OK
50,202520,001-S02,INGZ0222,C-100,INGZ2222,,,,,,OK
51,202520,001-S02,INGZ0222,D-100,INGZ0145,,,,,,OK
52,202520,001-S02,INGZ0222,E-100,,ENGC,4,6,,,OK
53,202520,001-S02,INGZ0222,F-100,,ENG,4,9,,,OK
54,202520,001-S02,INGZ0222,G-100,,,,,,I222,OK
55,202520,001-S02,INGZ0222,H-100,INGZ0220,,,,,,OK
56,202520,001-S02,PSIZ1110,A-100,PSIZ1110,,,,,,OK
57,202520,001-S02,PSIZ1110,B-100,NPSI1040,,,,,,OK
58,202520,001-S02,PSIZ1110,C-100,,A446,6,10,,,OK
59,202520,001-S02,PSIZ1771,A-100,PSIZ1771,,,,,,OK
60,202520,001-S02,VIDA0003,,,,,,,,En Banner VIDA0003 no se encontro
61,202520,001-S02,VIDA0004,,,,,,,,En Banner VIDA0004 no se encontro
62,202520,001-S03,EDIB0009,A-100,EDIB0009,,,,,,OK
63,202520,001-S03,EDIB0009,B-100,PSIZ1440,,,,,,OK
64,202520,001-S03,EDIB0009,C-100,SIGE1345,,,,,,OK
65,202520,001-S03,EDIB0009,D-100,,A082,6,10,,,OK
66,202520,001-S03,INGZ0333,A-100,INGZ0333,,,,,,OK
67,202520,001-S03,INGZ0333,B-100,INGZ3333,,,,,,OK
68,202520,001-S03,INGZ0333,C-100,INGZ0050,,,,,,OK
69,202520,001-S03,INGZ0333,D-100,INGZ0145,,,,,,OK
70,202520,001-S03,INGZ0333,E-100,,ENGC,4,6,,,OK
71,202520,001-S03,INGZ0333,F-100,,ENG,5,9,,,OK
72,202520,001-S03,INGZ0333,G-100,,,,,,I333,OK
73,202520,001-S03,INGZ0333,H-100,INGZ0330,,,,,,OK
74,202520,001-S03,PSIZ1220,A-100,PSIZ1220,,,,,,OK
75,202520,001-S03,PSIZ1220,B-100,SIGE2270,,,,,,OK
76,202520,001-S03,PSIZ1220,C-100,EDIB0001,,,,,,OK
77,202520,001-S03,PSIZ1220,D-100,,A447,6,10,,,OK
78,202520,001-S03,PSIZ1550,A-100,PSIZ1550,,,,,,OK
79,202520,001-S03,PSIZ1550,B-100,SIGE1110,,,,,,OK
80,202520,001-S03,PSIZ1772,A-100,PSIZ1770,,,,,,OK
81,202520,001-S03,PSIZ1772,B-100,PSIZ1772,,,,,,OK
82,202520,001-S03,PSIZ1772,C-100,,A032,6,10,,,OK
83,202520,001-S03,PSIZ1772,D-100,INVZ1040,,,,,,OK
84,202520,001-S05,PSIC2801,A-100,PSIC2801,,,,,,OK
85,202520,001-S05,PSIC2801,B-100,TESI3050,,,,,,OK
86,202520,001-S05,PSIC8005,A-100,PSIC8005,,,,,,OK
87,202520,001-S05,PSIC8005,B-100,PSIC3301,,,,,,OK
88,202520,001-S05,PSIC8005,B-100,PSIC2441,,,,,,OK
89,202520,001-S05,PSIC8006,A-100,PSIC8006,,,,,,OK
90,202520,001-S05,PSIC8006,B-100,PSIC2881,,,,,,OK
91,202520,001-S05,PSIC8006,C-100,EVSI2070,,,,,,OK
92,202520,001-S05,PSIC8006,C-100,EVSI2010,,,,,,OK
93,202520,001-S05,PSIC8007,A-100,PSIC8007,,,,,,OK
94,202520,001-S05,PSIC8007,B-100,PSIC2551,,,,,,OK
95,202520,001-S05,PSIC8007,B-100,PSIC2282,,,,,,OK
96,202520,001-S05,PSIC8007,C-100,SIGE2010,,,,,,OK
97,202520,001-S05,PSIC8007,D-100,PSIZ2551,,,,,,OK
98,202520,001-S05,PSIZ2331,A-100,PSIZ2331,,,,,,OK
99,202520,001-S05,PSIZ2331,B-100,SISO2047,,,,,,OK
100,202520,001-S05,PSIZ2331,C-100,PSIC2332,,,,,,OK
101,202520,001-S05,PSIZ2331,D-100,PSIZ3883,,,,,,OK
102,202520,001-S06,PSIC2883,A-100,PSIC2883,,,,,,OK
103,202520,001-S06,PSIC2883,B-100,TESI2020,,,,,,OK
104,202520,001-S06,PSIC3802,A-100,PSIC3802,,,,,,OK
105,202520,001-S06,PSIC3802,B-100,SISO2038,,,,,,OK
106,202520,001-S06,PSIC8008,A-100,PSIC8008,,,,,,OK
107,202520,001-S06,PSIC8008,B-100,PSIC2886,,,,,,OK
108,202520,001-S06,PSIC8008,C-100,SIGE2336,,,,,,OK
109,202520,001-S06,PSIC8008,C-100,SIGE2319,,,,,,OK
