,period,subject_code,status,banner,odoo
0,202210,AQTR2003,Fail,,( FADR2116 6.0 O A118 6 )
1,202210,CORP1132,Fail,,( CORP1112 6.0 O A274 6 ) O ( PUBZ1111 6.0 )
2,202210,CORP1138,Fail,,( CORP1421 6.0 O A276 6 ) O ( CHCZ1020 6.0 ) O ( ( CORP1421 6.0 O A276 6 ) )
3,202210,CORP1142,Fail,,( CORP1138 6.0 O A278 6 )
4,202210,CORP1145,Fail,,( MATZ0014 6.0 O PRTE 7 )
5,202210,CORP1344,Fail,,( CORP1132 6.0 O A277 6 )
6,202210,CORP1421,Fail,,( CORP1118 6.0 O A275 6 ) O ( CORP1010 6.0 )
7,202210,CORP2151,Fail,,CORP1143 6.0
8,202210,CORP2162,Fail,,( CORP2151 6.0 O A280 6 ) O ( CORP1120 6.0 )
9,202210,CORP2163,Fail,,CORP3178 6.0 O ( CORP3178 6.0 )
