,period,subject_code,status,banner,odoo
0,202010,DAGZ3339,OK,,
1,202010,DAGZ4353,OK,,
2,202010,DIPZ2668,Fail,FADT1160 6.0,FADT1160 6.0 O A161 6
3,202010,DMDZ3647,Fail,DMDZ2335 6.0,( DMDZ2335 6.0 O C303 6 ) O ( CBOZ2040 6.0 A CBOZ2150 6.0 A CBOZ2110 6.0 ) O ( DMDZ2333 6.0 )
4,202010,DMDZ3657,Fail,DMDZ3644 6.0 A DMDZ3647 6.0,DMDZ3647 6.0 A ( DMDZ3644 6.0 O A099 6 ) O ( CBOZ2030 6.0 )
5,202010,FADT2668,Fail,FADR1116 6.0 A FADT1160 6.0,( FADT1160 6.0 O A161 6 ) A ( FADR1116 6.0 O A162 6 ) O ( ( FADT1160 6.0 O A161 6 ) A ( FADR1116 6.0 O A162 6 ) ) O ( ( FADT1160 6.0 O A161 6 ) ) O ( TADZ1010 6.0 A TEXP1010 6.0 A TEXP1020 6.0 )
6,202010,FINZ2751,Fail,FINZ2147 6.0,( FINZ2147 6.0 O A188 6 ) O ( ( FINZ2147 6.0 O A188 6 ) ) O ( FINZ2220 6.0 )
7,202010,FTPZ2211,Fail,FTPZ1107 6.0,( FTPZ1107 6.0 O A122 6 ) O ( CBMZ2130 6.0 A CBMZ2140 6.0 ) O ( FTPZ1101 6.0 )
8,202010,GDEZ2202,Fail,GDEZ1110 6.0 A MKTZ1234 6.0,( MKTZ1234 6.0 O A208 6 ) A ( GDEZ1110 6.0 O A196 6 ) O ( ( MKTZ1234 6.0 O A208 6 ) ) O ( MKTD1240 6.0 A MKTD2210 6.0 )
9,202010,GSTR2148,OK,,
