,PERIODO,AREA,REGLA,CONECTOR,SIGLA,PRUEBA,TEST_PUNTAJE_MINIMO,TEST_PUNTAJE_MAXIMO,REGLA_PUNTAJE_MINIMO,REGLA_ATRIBUTO,ESTADO
0,202320,001-S01,FGLZ0192,A-100,FGLZ0140,,,,,,OK
1,202320,001-S01,FGLZ0192,A-100,FGLZ0160,,,,,,OK
2,202320,001-S01,FGLZ0192,B-100,FGLZ0160,,,,,,OK
3,202320,001-S01,FGLZ0192,B-100,FGLZ0170,,,,,,OK
4,202320,001-S01,FGLZ0192,C-100,FGLZ0140,,,,,,OK
5,202320,001-S01,FGLZ0192,C-100,ICOM1110,,,,,,OK
6,202320,001-S01,FGLZ0192,D-100,FGLZ0170,,,,,,OK
7,202320,001-S01,FGLZ0192,D-100,ICOM1110,,,,,,OK
8,202320,001-S01,FGLZ0192,E-100,FGLZ0140,,,,,,OK
9,202320,001-S01,FGLZ0192,E-100,FGLZ0190,,,,,,OK
10,202320,001-S01,FGLZ0192,F-100,FGLZ0170,,,,,,OK
11,202320,001-S01,FGLZ0192,F-100,FGLZ0190,,,,,,OK
12,202320,001-S01,FGLZ0192,G-100,FGLZ0192,,,,,,OK
13,202320,001-S01,FGLZ0192,H-100,FGLZ0193,,,,,,OK
14,202320,001-S01,FGLZ0192,I-100,,A090,6.0,10.0,,,OK
15,202320,001-S01,INGZ0111,A-100,INGZ0111,,,,,,OK
16,202320,001-S01,INGZ0111,B-100,INGZ0030,,,,,,OK
17,202320,001-S01,INGZ0111,C-100,INGZ1111,,,,,,OK
18,202320,001-S01,INGZ0111,D-100,INGZ0123,,,,,,OK
19,202320,001-S01,INGZ0111,E-100,,ENGC,4.0,6.0,,,OK
20,202320,001-S01,INGZ0111,F-100,,ENG,3.0,9.0,,,OK
21,202320,001-S01,INGZ0111,G-100,,,,,,I111,OK
22,202320,001-S01,INGZ0111,H-100,INGZ0110,,,,,,OK
23,202320,001-S01,MATZ0014,A-100,MATZ0014,,,,,,OK
24,202320,001-S01,MATZ0014,B-100,MATZ0110,,,,,,OK
25,202320,001-S01,MATZ0014,C-100,MATZ0325,,,,,,OK
26,202320,001-S01,MATZ0014,D-100,MATZ0020,,,,,,OK
27,202320,001-S01,MATZ0014,E-100,MATZ0315,,,,,,OK
28,202320,001-S01,MATZ0014,F-100,MATZ0310,,,,,,OK
29,202320,001-S01,MATZ0014,G-100,MATZ0305,,,,,,OK
30,202320,001-S01,MATZ0014,H-100,ECON2310,,,,,,OK
31,202320,001-S01,MATZ0014,H-100,MATZ0330,,,,,,OK
32,202320,001-S01,MATZ0014,I-100,MATZ0300,,,,,,OK
33,202320,001-S01,MATZ0014,J-100,MATZ0016,,,,,,OK
34,202320,001-S01,MATZ0014,K-100,,PRTE,7.0,10.0,,,OK
35,202320,001-S01,MATZ0014,L-100,MATZ0330,,,,,,OK
36,202320,001-S01,MATZ0014,M-100,MATZ0017,,,,,,OK
37,202320,001-S01,PSIZ1001,A-100,PSIZ1001,,,,,,OK
38,202320,001-S01,PSIZ1001,B-100,SIGE1310,,,,,,OK
39,202320,001-S01,PSIZ1002,A-100,PSIZ1002,,,,,,OK
40,202320,001-S01,PSIZ1002,B-100,SIGE1010,,,,,,OK
41,202320,001-S01,PSIZ1002,C-100,,A033,6.0,10.0,,,OK
42,202320,001-S02,FGLZ0180,A-100,FGLZ0180,,,,,,OK
43,202320,001-S02,FGLZ0180,B-100,FGLZ0150,,,,,,OK
44,202320,001-S02,FGLZ0180,C-100,FGLZ0182,,,,,,OK
45,202320,001-S02,FGLZ0180,D-100,,A091,6.0,10.0,,,OK
46,202320,001-S02,INGZ0222,A-100,INGZ0222,,,,,,OK
47,202320,001-S02,INGZ0222,B-100,INGZ0040,,,,,,OK
48,202320,001-S02,INGZ0222,C-100,INGZ2222,,,,,,OK
49,202320,001-S02,INGZ0222,D-100,INGZ0145,,,,,,OK
50,202320,001-S02,INGZ0222,E-100,,ENGC,4.0,6.0,,,OK
51,202320,001-S02,INGZ0222,F-100,,ENG,4.0,9.0,,,OK
52,202320,001-S02,INGZ0222,G-100,,,,,,I222,OK
53,202320,001-S02,INGZ0222,H-100,INGZ0220,,,,,,OK
54,202320,001-S02,PSIZ1110,A-100,PSIZ1110,,,,,,OK
55,202320,001-S02,PSIZ1110,B-100,NPSI1040,,,,,,OK
56,202320,001-S02,PSIZ1550,A-100,PSIZ1550,,,,,,OK
57,202320,001-S02,PSIZ1550,B-100,SIGE1110,,,,,,OK
58,202320,001-S02,PSIZ1771,A-100,PSIZ1771,,,,,,OK
